latitude,longitude,elevation_m,temperature_C,humidity_percent,rainfall_mm_day,windspeed_mps,soil_type,soil_pH,soil_moisture_percent,organic_carbon_percent,nitrogen_mgkg,phosphorus_mgkg,potassium_mgkg,bulk_density_gcm3,drainage,ndvi,canopy_cover_percent,burn_severity,fire_frequency_5yr,deforestation_percent,native_species_suitability,carbon_sequestration_tCO2_ha,recommended_reforestation_method,recommended_species
-2.003679,-65.03262,260.9,30.3,76.4,18.05,7.17,Oxisol,5.39,55.5,5.3,1267,17,118,0.99,Moderate,0.939,100.0,0.105,0,10.4,100.0,250.0,Natural Regeneration,Brazil Nut
2.605714,-66.01011,80.9,27.97,83.7,33.57,5.55,Inceptisol,5.26,67.3,6.87,1126,28,79,1.4,Poor,0.95,99.7,0.171,1,13.6,100.0,250.0,Natural Regeneration,Brazil Nut
0.855952,-69.772306,134.4,34.54,67.8,42.07,5.48,Oxisol,6.44,62.1,4.64,819,18,235,1.58,Moderate,0.93,98.4,0.043,0,10.5,100.0,244.9,Natural Regeneration,Brazil Nut
-0.210732,-59.4256,238.9,24.85,91.9,17.46,0.88,Histosol,5.53,56.6,5.43,1960,13,193,1.1,Moderate,0.859,85.2,0.134,0,44.2,100.0,239.9,Natural Regeneration,Brazil Nut
-3.751851,-62.56102,179.1,29.64,77.7,26.27,5.7,Ultisol,6.64,64.6,2.42,1267,25,169,1.52,Moderate,0.636,63.0,0.324,1,36.0,100.0,140.4,Agroforestry,Rubber Tree
-3.752044,-53.223176,263.7,31.1,73.5,22.45,0.61,Oxisol,5.35,48.0,4.93,2160,33,161,1.6,Good,0.884,80.5,0.047,0,32.5,100.0,223.0,Natural Regeneration,Brazil Nut
-4.535331,-73.22937,337.2,32.73,71.7,16.43,0.45,Ultisol,5.87,51.5,1.21,1686,23,54,1.1,Poor,0.395,52.8,0.48,4,42.8,88.6,93.9,Direct Seeding,Açaí Palm
1.929409,-58.54717,58.5,27.29,78.5,6.6,2.6,Spodosol,5.34,43.7,5.98,902,10,152,1.0,Moderate,0.767,71.8,0.234,0,47.2,100.0,233.1,Natural Regeneration,Brazil Nut
-0.19108,-55.689227,254.2,30.93,67.9,1.04,0.19,Entisol,4.9,42.8,2.33,1124,33,105,1.13,Good,0.503,37.1,0.418,3,51.4,97.6,125.1,Direct Seeding,Açaí Palm
0.664581,-55.772322,96.0,25.94,90.6,11.92,1.28,Oxisol,4.08,58.3,1.39,555,19,236,1.26,Good,0.511,51.1,0.489,4,39.3,100.0,148.9,Agroforestry,Rubber Tree
-4.835324,-52.734225,156.8,27.66,86.4,9.37,5.81,Oxisol,6.22,54.4,2.07,469,24,117,1.09,Moderate,0.5,31.1,0.467,3,70.7,96.3,127.9,Assisted Natural Regeneration,Andiroba
2.759279,-56.50319,30.8,33.64,75.3,3.82,6.68,Entisol,6.53,51.0,3.82,1947,39,181,1.57,Good,0.739,72.3,0.248,2,15.0,100.0,205.9,Natural Regeneration,Brazil Nut
1.659541,-51.732559,64.8,34.35,67.9,14.55,1.44,Spodosol,6.05,50.1,1.25,974,17,60,1.0,Moderate,0.335,32.6,0.562,4,90.0,76.7,78.1,Assisted Natural Regeneration,Andiroba
-3.301287,-66.016242,125.5,31.34,70.7,6.86,6.59,Spodosol,4.76,48.5,1.21,458,29,98,1.11,Good,0.46,38.9,0.272,1,9.7,99.9,125.2,Agroforestry,Rubber Tree
-3.5454,-61.922974,132.9,26.87,78.1,39.57,3.84,Spodosol,6.29,52.1,4.06,2065,17,157,1.11,Poor,0.731,71.7,0.222,3,23.1,100.0,195.9,Natural Regeneration,Brazil Nut
-3.532764,-73.662088,316.9,32.66,68.9,13.2,7.66,Ultisol,5.72,46.4,4.41,892,4,123,1.28,Moderate,0.709,77.0,0.235,2,24.9,100.0,213.8,Natural Regeneration,Brazil Nut
-2.566062,-73.833018,264.8,22.34,100.0,1.82,1.11,Entisol,5.91,67.5,2.91,2246,3,247,1.35,Good,0.679,56.0,0.196,1,10.3,100.0,181.3,Natural Regeneration,Brazil Nut
-0.801949,-68.236961,340.8,23.34,100.0,18.45,0.43,Oxisol,4.19,64.8,1.1,2144,39,202,0.93,Moderate,0.541,63.6,0.375,4,37.9,91.3,118.3,Agroforestry,Rubber Tree
-1.54444,-71.580627,217.7,30.6,78.8,19.25,6.76,Entisol,5.63,62.9,3.76,231,29,194,1.56,Poor,0.754,81.1,0.141,1,27.8,100.0,194.8,Natural Regeneration,Brazil Nut
