t_min,lon,lat,n_burning,spread_radius_m
0.0,-59.0,-2.145,1,0.0
3.0,-59.0,-2.145,1,0.0
6.0,-58.9998650071704,-2.1448651017591125,2,42.42640687119285
9.0,-58.9999325035852,-2.144865101759112,4,60.0
12.0,-58.99991000478027,-2.144940045226272,9,67.08203932499369
15.0,-58.99985273509498,-2.144852838282668,11,94.86832980505137
18.0,-58.99982000956053,-2.144880090452544,18,127.27922061357856
21.0,-58.999718275833885,-2.1449999999999996,23,150.0
24.0,-58.999523554719055,-2.145031740762562,34,192.09372712298546
27.0,-58.9995275250964,-2.1450299773868644,36,192.09372712298546
30.0,-58.99953202485738,-2.1450299773868644,45,216.33307652783935
33.0,-58.999454628968415,-2.1451133145223458,50,234.30749027719963
36.0,-58.999415768737464,-2.1451149952217405,61,276.5863337187866
39.0,-58.99930954487156,-2.1452122988709057,61,308.86890422961
42.0,-58.999375406310804,-2.1453020109870624,67,313.2091952673165
45.0,-58.99927311553294,-2.145390859005649,78,318.90437438203946
48.0,-58.99921971177617,-2.14542100110343,91,342.0526275297414
51.0,-58.99915482750164,-2.1455454581044595,92,384.1874542459709
54.0,-58.999192770150266,-2.1456213494731804,99,426.38011210655685
57.0,-58.99909070867609,-2.145613405208565,106,426.38011210655685
60.0,-58.99913254607645,-2.1456445138175746,108,426.38011210655685
63.0,-58.999109299647685,-2.1459178123305263,107,432.6661530556787
66.0,-58.99903576550286,-2.145941878789056,112,468.61498055439927
69.0,-58.99893747579283,-2.1459268814615844,124,474.3416490252569
72.0,-58.998836490373456,-2.1460170899114557,126,516.1395160225576
75.0,-58.99876111419286,-2.1460661312586296,124,516.1395160225576
78.0,-58.99869875764255,-2.1459597678122186,122,558.0322571321482
81.0,-58.99877468046979,-2.145830143020848,130,558.0322571321482
84.0,-58.99896877657991,-2.1458377890749873,133,558.0322571321482
87.0,-58.99887042764644,-2.145815340838307,136,600.0
90.0,-58.99884766990386,-2.1457683334589697,138,600.0
93.0,-58.9987628739315,-2.1456301410978456,146,615.5485358604957
96.0,-58.99856416717608,-2.145804133669708,154,657.9513659838393
99.0,-58.99836232383039,-2.1457099907415147,152,657.9513659838393
102.0,-58.9984605786637,-2.145564729281729,161,680.147042925278
105.0,-58.99829273774331,-2.1457363856914347,170,722.4956747275377
108.0,-58.99825765068773,-2.145796840771756,172,764.8529270389178
111.0,-58.99808357000291,-2.145959103099954,173,807.2174428244226
114.0,-58.99799354919939,-2.146093928904249,183,807.2174428244226
117.0,-58.997882081409195,-2.1460554214701584,193,807.2174428244226
120.0,-58.99781519297325,-2.145909006607829,195,807.2174428244226
123.0,-58.99761685735439,-2.145810686543797,208,807.2174428244226
126.0,-58.99765087244194,-2.145658101698537,214,827.5868534480232
129.0,-58.99764477947989,-2.1453618008119664,217,827.5868534480232
132.0,-58.99764170666059,-2.145410341625771,215,849.5881355103778
135.0,-58.99786499819731,-2.1454799144791035,217,872.066511224918
138.0,-58.99823065212182,-2.1453162265739882,215,872.066511224918
141.0,-58.998529793732615,-2.1450306877514818,211,872.066511224918
144.0,-58.998756544921726,-2.1449962000495524,213,912.4143795447329
147.0,-58.9988010589447,-2.144842725273657,211,912.4143795447329
150.0,-58.99866447093917,-2.144740995377495,225,914.3850392476902
153.0,-58.9987557182663,-2.1450621704936266,230,918.313671900838
156.0,-58.99841239202113,-2.1451291333587985,234,937.2299611087985
159.0,-58.99844368266676,-2.1453441404011984,225,956.7131231461184
162.0,-58.99852127120605,-2.1452215301387056,218,956.7131231461184
165.0,-58.99861372748065,-2.1447924642447878,208,956.7131231461184
168.0,-58.99848307026534,-2.1441920012581877,194,956.7131231461184
171.0,-58.99900178275194,-2.143680184778341,185,956.7131231461184
174.0,-58.99924225019407,-2.143370786991267,181,976.7292357659824
177.0,-58.99954342739307,-2.1431848770728714,191,976.7292357659824
180.0,-58.99993145441814,-2.1432050845461146,193,976.7292357659824
183.0,-59.00021516623602,-2.1431826399425575,197,997.2462083156797
186.0,-59.00037909903443,-2.1433071319200505,193,997.2462083156797
189.0,-59.00049019742593,-2.1431400622429546,179,997.2462083156797
192.0,-59.000492145287346,-2.1429649636803214,175,997.2462083156797
195.0,-59.00067413597114,-2.143086596730475,163,1018.2337649086285
198.0,-59.00115465564941,-2.1434355197723454,159,1018.2337649086285
201.0,-59.001376546600405,-2.1435921183591855,142,1018.2337649086285
204.0,-59.00152034477591,-2.1436701520933754,141,1018.2337649086285
207.0,-59.0023998725262,-2.1446466950833885,126,1018.2337649086285
210.0,-59.00301362370943,-2.1451288217435507,111,1018.2337649086285
213.0,-59.00326775746133,-2.1454620652389034,87,1018.2337649086285
216.0,-59.003627738340256,-2.145347324206424,87,1018.2337649086285
219.0,-59.00399017766451,-2.145756831689137,77,997.2462083156797
222.0,-59.00410289682093,-2.1458226581247586,61,997.2462083156797
225.0,-59.004194420062554,-2.145173440595427,56,997.2462083156797
228.0,-59.00437376767902,-2.1449067975790235,55,997.2462083156797
231.0,-59.00476156526222,-2.145183952146666,44,900.0
234.0,-59.00480047672088,-2.1453685025116935,41,900.0
237.0,-59.00486649150705,-2.1453507354263084,40,900.0
240.0,-59.00518810280243,-2.146451067564145,37,900.0
