t_min,lon,lat
0.0,-59.0,-2.145
6.0,-58.9997300143408,-2.1447302035182245
9.0,-59.0,-2.1444604070364486
9.0,-59.0,-2.1452697964817755
12.0,-59.0002699856592,-2.1444604070364486
12.0,-59.0,-2.1447302035182245
12.0,-58.9997300143408,-2.145
12.0,-58.9997300143408,-2.1452697964817755
12.0,-58.9997300143408,-2.1455395929635515
15.0,-59.0,-2.144190610554673
15.0,-58.9997300143408,-2.144190610554673
15.0,-58.999460028681604,-2.1455395929635515
18.0,-58.9997300143408,-2.1444604070364486
18.0,-59.0002699856592,-2.144190610554673
18.0,-59.000539971318396,-2.1447302035182245
18.0,-58.999460028681604,-2.1444604070364486
18.0,-58.999460028681604,-2.145
18.0,-58.9997300143408,-2.145809389445327
18.0,-58.9991900430224,-2.145809389445327
21.0,-58.999460028681604,-2.144190610554673
21.0,-58.9991900430224,-2.1447302035182245
21.0,-59.0,-2.1455395929635515
21.0,-58.9991900430224,-2.1455395929635515
21.0,-58.999460028681604,-2.145809389445327
21.0,-58.9991900430224,-2.1460791859271025
24.0,-58.9997300143408,-2.1439208140728976
24.0,-58.9991900430224,-2.1439208140728976
24.0,-58.9991900430224,-2.1444604070364486
24.0,-58.9991900430224,-2.144190610554673
24.0,-59.0002699856592,-2.1447302035182245
24.0,-58.99892005736321,-2.1447302035182245
24.0,-58.9991900430224,-2.145
24.0,-58.999460028681604,-2.1452697964817755
24.0,-58.99892005736321,-2.1452697964817755
24.0,-58.99892005736321,-2.1460791859271025
24.0,-58.99892005736321,-2.145809389445327
24.0,-58.999460028681604,-2.1460791859271025
24.0,-58.99892005736321,-2.146348982408878
27.0,-59.000539971318396,-2.1439208140728976
27.0,-59.000539971318396,-2.1444604070364486
27.0,-59.0008099569776,-2.1444604070364486
27.0,-58.9991900430224,-2.1452697964817755
27.0,-58.99892005736321,-2.145
27.0,-59.0,-2.145809389445327
27.0,-58.998650071704006,-2.1460791859271025
30.0,-59.0002699856592,-2.143651017591122
30.0,-59.0008099569776,-2.144190610554673
30.0,-59.000539971318396,-2.144190610554673
